,person,selected offer
101438,6cf51740b6e94bd09e738b70f3d6c1c8,offer_fail
103899,27793a3c6dfe47cda8ee29432c6f6603,5a8bc65990b245e5a138643cd4eb9837
106927,e959acbfc347460b8a55f94fc64e661b,offer_fail
111438,df3181a5f3cf459f91a82c8f30889b1a,offer_fail
111457,7ecfc592171f4844bdc05bdbb48d3847,offer_fail
111652,9894250fd5b34abda073bb1c71f19f0d,5a8bc65990b245e5a138643cd4eb9837
114382,dd1ba9ff27e64ccbbe28566ff10189d9,5a8bc65990b245e5a138643cd4eb9837
116676,7ecfc592171f4844bdc05bdbb48d3847,offer_fail
116687,df3181a5f3cf459f91a82c8f30889b1a,offer_fail
122739,fafcd6ee168140fbbb5da43be1d3daa7,offer_fail
124387,9fb2081cc2eb4cb9bfb7265dca9a7879,offer_fail
127536,50f26d1787444bb6a1e1b8be501f6877,offer_fail
132472,ffed75d3abc64b488982f50ed12878b5,offer_fail
133364,f6e7986202724b9cb7000be668d10359,offer_fail
136302,8778b4fe9ab94f04888cbac6b883b406,offer_fail
140268,bc0c484263b94b0896f20c5e4fdf3585,offer_fail
141461,db3d9ca5a8f54526bd5e263d914f3b29,5a8bc65990b245e5a138643cd4eb9837
142621,d1c50a0b12b84565a5182ee69f6c773e,offer_fail
143286,60ae06998f034851b0c571f8fb4e1165,offer_fail
146025,1bfe13d2453c4185a6486c6817e0d568,offer_fail
146135,f7178f6391fc4b698ea2e04bd7ffe512,offer_fail
147889,ad0884c461704fcdad54dc7d8150ae32,offer_fail
148286,a2dd3153f91042cbbed1bd60d99716ef,offer_fail
151885,b52302342d674c9784218a66bf550cca,5a8bc65990b245e5a138643cd4eb9837
152157,99129a5d44304888a2156e5c923cfed6,offer_fail
152213,6ac3a35e06d848e9b02ec09e74d1ff7b,offer_fail
152669,4d8213f88ffc446595066a6d6ad619cb,offer_fail
153185,77a02de10fd64530a6ec57afdb17daa0,5a8bc65990b245e5a138643cd4eb9837
153189,4b8d0a6769ca4ea8b7cdad45299f5b54,offer_fail
153823,ec9438411f1c421480d3c63499f67171,offer_fail
158636,c0b78b7b2a1e49e8b6d6c0eb076d8706,5a8bc65990b245e5a138643cd4eb9837
158920,cc1891e307dd48f49bdb894ede98f8a6,offer_fail
159198,e63da783159f44e6939c5971be40bd3a,5a8bc65990b245e5a138643cd4eb9837
159295,c381677d2703470a9c1f7fddc39a32a6,5a8bc65990b245e5a138643cd4eb9837
159735,85ae2af96ee240309010dcb847135e70,5a8bc65990b245e5a138643cd4eb9837
159832,cf3470c79dd24e8386b0053fd9b5c33c,offer_fail
160360,77a02de10fd64530a6ec57afdb17daa0,5a8bc65990b245e5a138643cd4eb9837
160924,a33e1e7f26ea4b9a824bf1902ee073fc,offer_fail
161352,0a43626c07724771836f653098a19ec8,5a8bc65990b245e5a138643cd4eb9837
161488,f89cde99c9bf4182a371dd808a0ad2f1,5a8bc65990b245e5a138643cd4eb9837
162619,f314544f7a174cfabbc5e50f9f4e3861,offer_fail
162894,cc1891e307dd48f49bdb894ede98f8a6,offer_fail
164776,e63da783159f44e6939c5971be40bd3a,5a8bc65990b245e5a138643cd4eb9837
165324,f1a4a4fcb0484a1dbe546b7f958210eb,5a8bc65990b245e5a138643cd4eb9837
165438,c381677d2703470a9c1f7fddc39a32a6,5a8bc65990b245e5a138643cd4eb9837
166157,85ae2af96ee240309010dcb847135e70,5a8bc65990b245e5a138643cd4eb9837
167082,292117548f3e4adebb5b5f896e479f13,offer_fail
169013,cf3470c79dd24e8386b0053fd9b5c33c,offer_fail
169236,93713e2ee361483baf95bd24c4d8b202,5a8bc65990b245e5a138643cd4eb9837
170441,8067654a47084fcfb911ef14a4f46ba7,offer_fail
171502,1df88b34a02446e8accf51cb8e712a6a,5a8bc65990b245e5a138643cd4eb9837
171503,1df88b34a02446e8accf51cb8e712a6a,5a8bc65990b245e5a138643cd4eb9837
171753,cf7ca63f868f4ca2b8c0114081382ec2,5a8bc65990b245e5a138643cd4eb9837
171880,81af83e08a7d48deaaf764753e2810b3,offer_fail
171881,81af83e08a7d48deaaf764753e2810b3,offer_fail
171882,81af83e08a7d48deaaf764753e2810b3,offer_fail
171883,81af83e08a7d48deaaf764753e2810b3,offer_fail
171884,81af83e08a7d48deaaf764753e2810b3,offer_fail
171885,81af83e08a7d48deaaf764753e2810b3,offer_fail
171939,f5f1e2044c7d4fa68938640809cbb4bd,offer_fail
171940,f5f1e2044c7d4fa68938640809cbb4bd,offer_fail
171941,f5f1e2044c7d4fa68938640809cbb4bd,offer_fail
173020,94785e66881c48009dcdf69c250f9228,5a8bc65990b245e5a138643cd4eb9837
173021,94785e66881c48009dcdf69c250f9228,5a8bc65990b245e5a138643cd4eb9837
173022,94785e66881c48009dcdf69c250f9228,5a8bc65990b245e5a138643cd4eb9837
174315,e61d674d2adc44c59e41458f838ba954,offer_fail
174345,ec58b08e4c184bbca848bfc48d56b0a9,5a8bc65990b245e5a138643cd4eb9837
174613,cae5e211053f4121a389a7da4d631f7f,5a8bc65990b245e5a138643cd4eb9837
174629,da942f5df8ec4e008c009b783142db97,offer_fail
175187,4293153650e04742b310ac06cd3810e9,5a8bc65990b245e5a138643cd4eb9837
175207,02c083884c7d45b39cc68e1314fec56c,5a8bc65990b245e5a138643cd4eb9837
175804,13f997b9e6384b809bfe26cb6fa9f8af,offer_fail
175939,90f9062185ea4c3baf0f91790cd29ff2,5a8bc65990b245e5a138643cd4eb9837
175993,0206e1388c34454caba2b7fce3123943,offer_fail
176091,641eff6a55404458899c9ed37ca9f4b9,5a8bc65990b245e5a138643cd4eb9837
176112,ca9a8170963846329c22dacc7ff86a99,5a8bc65990b245e5a138643cd4eb9837
176113,ca9a8170963846329c22dacc7ff86a99,5a8bc65990b245e5a138643cd4eb9837
176114,ca9a8170963846329c22dacc7ff86a99,5a8bc65990b245e5a138643cd4eb9837
176115,ca9a8170963846329c22dacc7ff86a99,5a8bc65990b245e5a138643cd4eb9837
176116,ca9a8170963846329c22dacc7ff86a99,5a8bc65990b245e5a138643cd4eb9837
176117,ca9a8170963846329c22dacc7ff86a99,5a8bc65990b245e5a138643cd4eb9837
176302,fde8866d3eaa4521ab01de58b2e2adae,5a8bc65990b245e5a138643cd4eb9837
178008,145de283cf9c4377a3dea3afb87774f3,offer_fail
178709,6b28e0d31bb24ddaaef48c008414d1cd,offer_fail
178889,9f6b1e6057cc413ea67c1f194f0d977d,offer_fail
179014,091c007c27584fb4850eb5fa0ff890e5,5a8bc65990b245e5a138643cd4eb9837
179024,34e4608290b94a0d9da68bd262f2ad3a,offer_fail
179196,a4ecd1ebb16a4800bdbf57aaf0144078,offer_fail
179632,eec56f869c1f442b9d464518f5b084c5,5a8bc65990b245e5a138643cd4eb9837
180449,8c3fbf6b89b248bb99b7a6ca628f401c,5a8bc65990b245e5a138643cd4eb9837
